X1,X2,in_trial,U,xb1,xb2,p1,p2,p3,UNIF,S,A,Y1,Y0,Y
.6299248,-.0997499,0,-.7991314,,,,,,,0,0,-1.093772,-.1561587,0
.1087328,-.2544012,0,.4883302,,,,,,,0,0,-.5471243,1.281925,0
-.5252638,-.7096218,0,1.492137,,,,,,,0,0,2.95289,.9910191,0
-.0357186,1.343205,0,2.055817,,,,,,,0,0,6.034195,4.442782,0
.2518163,-.6763508,0,-1.230307,,,,,,,0,0,-3.007952,-.3784685,0
-.0325961,.2202295,0,-1.035447,,,,,,,0,0,-.021297,.8843959,0
-.2848573,.1911382,0,1.739364,,,,,,,0,0,3.715546,4.809836,0
.1818191,.495243,0,.8367034,,,,,,,0,0,2.791273,3.120706,0
-2.020454,-2.024841,0,-1.844522,,,,,,,0,0,-6.783936,-4.942655,0
-.4000078,.6868081,0,.2447937,,,,,,,0,0,1.009599,2.73632,0
.4525758,.4425472,0,-.1144957,,,,,,,0,0,.6579648,2.94135,0
1.845714,.97743,0,1.111549,,,,,,,0,0,2.247203,4.212161,0
2.605534,1.357959,0,-.766233,,,,,,,0,0,1.523132,6.131118,0
-.417425,.4605448,0,.8528845,,,,,,,0,0,2.493965,2.661309,0
.0716465,.3425995,0,.8936813,,,,,,,0,0,1.782883,1.139095,0
-2.249336,.0060166,0,-1.045801,,,,,,,0,0,-2.958796,-2.926892,0
.6766522,-.9247568,0,.6714386,,,,,,,0,0,.9200571,.8252438,0
-.8091104,-.3650063,0,-.4684738,,,,,,,0,0,-2.109855,-.1104189,0
.6904083,-2.011505,0,-.6417766,,,,,,,0,0,-2.462272,-1.636695,0
-.5997565,.0397099,0,-2.516373,,,,,,,0,0,-5.803863,-2.372549,0
-.0242358,.5207555,0,-.8547874,,,,,,,0,0,-.918408,.2306668,0
1.183948,-.9816868,0,.1485768,,,,,,,0,0,.1070364,4.530831,0
-.2384343,-1.786054,0,-.7254571,,,,,,,0,0,-2.176743,-.7582209,0
-.3633845,-1.161957,0,.5452099,,,,,,,0,0,2.070986,.8785616,0
-1.217341,-.1542707,0,1.159343,,,,,,,0,0,1.487161,-.292139,0
.5330043,.1777443,0,.1995882,,,,,,,0,0,.8612887,1.373723,0
-.9484826,-.8445063,0,1.312207,,,,,,,0,0,1.802368,.6846587,0
.2678154,-.6718578,0,.0733292,,,,,,,0,0,-.2830805,1.935565,0
-.0209339,1.976927,0,.7572268,,,,,,,0,0,2.316597,3.580275,0
-.456274,1.099608,0,.4252168,,,,,,,0,0,2.737601,3.547334,0
-1.869723,.1364994,0,2.120121,,,,,,,0,0,1.844265,1.976592,0
-1.541401,-.8760317,0,1.125779,,,,,,,0,0,1.033261,.266291,0
-.3861588,.7817948,0,.9863921,,,,,,,0,0,1.999118,2.129187,0
.0754331,-.1430735,0,-.2572825,,,,,,,0,0,.0666196,1.591267,0
.5972899,.212301,0,-.4704109,,,,,,,0,0,1.794662,4.038797,0
.2017792,.2025384,0,1.171371,,,,,,,0,0,5.601881,2.198244,0
.1034947,.6162297,0,.2545207,,,,,,,0,0,1.529429,4.048022,0
.4310558,.0048704,0,.3689276,,,,,,,0,0,.39064,1.885842,0
-1.958989,-1.810448,0,-.5370807,,,,,,,0,0,-2.30348,-3.020667,0
.7788927,.367922,0,.9321994,,,,,,,0,0,1.620812,5.398836,0
-1.692114,-.7656045,0,.1436175,,,,,,,0,0,.2815304,-1.793577,0
-.2636644,.4292781,0,.2509672,,,,,,,0,0,1.422004,1.892954,0
-.6792337,-.461315,0,.1316946,,,,,,,0,0,-.8846937,1.722099,0
-.1921069,-.5284408,0,.5903073,,,,,,,0,0,.826956,2.187138,0
.5935792,.2501226,0,.5655525,,,,,,,0,0,.5726653,1.471211,0
-.60282,-.0218869,0,-1.597862,,,,,,,0,0,-2.298259,-2.357202,0
1.779793,.4658808,0,-.6389831,,,,,,,0,0,-1.661965,4.549741,0
.4177596,-1.77668,0,-1.237299,,,,,,,0,0,-3.907008,1.131637,0
.9734861,1.66572,0,.3697546,,,,,,,0,0,1.562829,3.592619,0
.5692742,-.7821684,0,-.5483947,,,,,,,0,0,-2.205397,.8731567,0
-.8248465,-1.129507,0,.7378203,,,,,,,0,0,.1572557,.5325357,0
-.1145179,.4771014,0,-.240175,,,,,,,0,0,1.968651,2.7813,0
1.260747,.2437567,0,-1.449792,,,,,,,0,0,-2.04672,1.702697,0
.4363355,-.0609542,0,.7811892,,,,,,,0,0,2.452027,2.248366,0
-2.36576,.3310986,0,.7149127,,,,,,,0,0,1.001223,-.8395711,0
.8670294,1.769005,0,-.2087245,,,,,,,0,0,-.4809182,2.876153,0
-1.313058,-.0376028,0,.0869479,,,,,,,0,0,1.651383,2.100897,0
.2863438,.0427703,0,-.735595,,,,,,,0,0,.8485795,.5773801,0
-.2176195,-.2277799,0,-.2564654,,,,,,,0,0,-1.96229,1.3699,0
.8889546,-.1158591,0,1.430712,,,,,,,0,0,3.537839,4.219327,0
1.556042,-.9581897,0,.0142368,,,,,,,0,0,1.089267,1.796022,0
1.149995,.1426613,0,-1.284866,,,,,,,0,0,-1.928364,2.505582,0
-.0683628,.9954539,0,.2956232,,,,,,,0,0,1.747322,3.903345,0
-1.495586,.5516085,0,-1.199702,,,,,,,0,0,-1.700633,-1.174975,0
.0830023,.1476224,0,.4169587,,,,,,,0,0,.4095053,.8057393,0
.3358467,-.564551,0,.1750204,,,,,,,0,0,2.182279,.8351918,0
-2.401122,.0829443,0,.2309437,,,,,,,0,0,1.91664,-1.285391,0
-1.092084,-.8604093,0,.5795788,,,,,,,0,0,-.2577894,.8998809,0
-.3661326,.2560648,0,-.3188042,,,,,,,0,0,-.4116388,1.963079,0
-1.609707,-1.102559,0,-.9495308,,,,,,,0,0,-3.87692,-2.329602,0
1.360685,-.3235058,0,-.1223119,,,,,,,0,0,.4582726,2.472813,0
-1.361948,-2.645154,0,.2678997,,,,,,,0,0,.3222258,-1.801055,0
-.5055595,1.527939,0,-1.613584,,,,,,,0,0,-3.316755,.9496595,0
1.822274,.3276491,0,.7596696,,,,,,,0,0,2.072139,3.925516,0
-1.133804,1.251875,0,-.5389944,,,,,,,0,0,.5320281,1.602268,0
.2178374,-1.23454,0,1.452518,,,,,,,0,0,3.021783,.7969391,0
-1.190629,.1333468,0,2.19676,,,,,,,0,0,5.255398,4.129925,0
-.651985,-.2034361,0,-.2290929,,,,,,,0,0,-1.764556,-.9665287,0
.4230924,-.0345869,0,1.368322,,,,,,,0,0,4.595983,3.865522,0
.4982655,-1.838169,0,.4143775,,,,,,,0,0,.0740038,1.154048,0
-1.004514,.3917867,0,-.2793913,,,,,,,0,0,-1.145625,1.428105,0
.0519137,.7475979,0,.6284084,,,,,,,0,0,.9292998,2.086495,0
-.7446463,.1210669,0,.708255,,,,,,,0,0,1.838819,-.1822469,0
-.0524658,.7398563,0,.0943044,,,,,,,0,0,.7676867,2.214464,0
.9131265,-1.392376,0,-.9893649,,,,,,,0,0,-1.697916,.5554827,0
-1.386467,-.1015424,0,-1.659493,,,,,,,0,0,-3.296907,-.939155,0
-.1363153,.9380628,0,1.671898,,,,,,,0,0,4.219693,5.126686,0
-.6390923,2.21094,0,.6383005,,,,,,,0,0,1.813254,5.594487,0
1.26678,-.1403866,0,1.146633,,,,,,,0,0,2.292203,2.740533,0
1.404858,-1.510078,0,.2907221,,,,,,,0,0,.1354716,2.771363,0
-1.507531,-.2351458,0,-.4632659,,,,,,,0,0,-2.408327,-.599033,0
.9195066,.9778359,0,.705282,,,,,,,0,0,3.198982,3.960505,0
.7674364,-.5883967,0,.0636485,,,,,,,0,0,1.277184,.61625,0
-1.635703,-1.747413,0,.6290418,,,,,,,0,0,-.0967076,-2.036222,0
.4900331,-.8577864,0,.7137293,,,,,,,0,0,1.471696,2.709312,0
.3923931,-1.681177,0,.2278378,,,,,,,0,0,1.702669,.3019121,0
.7324494,1.252346,0,2.146323,,,,,,,0,0,5.916586,6.088154,0
.521161,-2.194185,0,-1.680625,,,,,,,0,0,-4.225718,-2.703877,0
-.6410285,.2556311,0,-.4012501,,,,,,,0,0,.1755396,.3352518,0
1.012947,.1422583,0,-.8404764,,,,,,,0,0,-.9717079,1.188082,0
-.5144992,.9123111,0,.4036579,,,,,,,0,0,1.610803,1.893449,0
-.6224294,-.5639619,0,-.9064565,,,,,,,0,0,-1.825541,-.2337566,0
.0007624,-.1904316,0,.1751241,,,,,,,0,0,2.503251,3.087577,0
-1.586265,-.8131217,0,-.2885943,,,,,,,0,0,-1.313238,-.6719928,0
-.5688376,-1.491448,0,-.3776991,,,,,,,0,0,-2.913582,.0617259,0
-.4277374,-.3979378,0,-.3173125,,,,,,,0,0,1.362324,.944688,0
-1.306787,.5955532,0,-.1378215,,,,,,,0,0,-1.293732,1.260203,0
-.8133085,-.6944513,0,-1.588246,,,,,,,0,0,-1.131577,-.9771855,0
-.4888102,.0995027,0,-.6847706,,,,,,,0,0,-.43863,-.4047484,0
-.1150345,-.8161494,0,.6188626,,,,,,,0,0,2.210266,.8247859,0
1.423504,-1.466811,0,1.710094,,,,,,,0,0,3.254254,2.682611,0
.2104221,-.2136886,0,-1.304524,,,,,,,0,0,-.6760592,.363571,0
.1731021,-.6486488,0,-1.075718,,,,,,,0,0,-1.659815,-.073217,0
1.839835,.7140657,0,-.0632841,,,,,,,0,0,2.50651,3.516498,0
.2471363,.7301396,0,.7371984,,,,,,,0,0,3.013388,4.044596,0
1.10975,.9832997,0,-1.149982,,,,,,,0,0,1.462542,1.294028,0
.2686453,-1.430037,0,-.6822268,,,,,,,0,0,-2.276965,1.04363,0
1.221474,-.6100223,0,.1359492,,,,,,,0,0,1.70838,3.047028,0
.1610217,-.8152174,0,-1.751824,,,,,,,0,0,-4.875869,1.368594,0
.1934059,-.3313264,0,-.6996998,,,,,,,0,0,-1.420083,.8106927,0
.461078,-.4988202,0,-.6468692,,,,,,,0,0,-.2874285,.7182083,0
.5912041,.8721036,0,.3322015,,,,,,,0,0,2.059998,3.985194,0
-1.096668,-.6996921,0,.0696972,,,,,,,0,0,-.7762857,-.1373481,0
-.0330452,.0691549,0,.2535942,,,,,,,0,0,1.599026,2.379771,0
-.6334544,-.7770314,0,-.8832327,,,,,,,0,0,-1.661208,.5260174,0
.7371991,-.4858069,0,.7122064,,,,,,,0,0,2.014858,2.572249,0
.0102709,1.56499,0,2.540967,,,,,,,0,0,7.502632,6.951718,0
.1163053,.0725148,0,.0527895,,,,,,,0,0,.3398588,1.655383,0
.1791076,-.6640071,0,-.8375139,,,,,,,0,0,-1.189808,.618451,0
-.3177029,-.3812061,0,-.1508538,,,,,,,0,0,-1.185981,.6900601,0
.704549,-.0511006,0,.3749142,,,,,,,0,0,.7781862,2.745834,0
-.3046234,-1.380462,0,-.761037,,,,,,,0,0,-.966324,-2.321806,0
-.8703526,.5567461,0,-.6101342,,,,,,,0,0,-.4010596,.0874551,0
-.6285511,-1.028778,0,-.0159544,,,,,,,0,0,-.6917999,.4286119,0
-1.214635,1.272619,0,-.659815,,,,,,,0,0,-2.125103,.6336685,0
-.2973087,-.2055866,0,.9409213,,,,,,,0,0,.1644922,2.062448,0
.8215504,.6095806,0,-.4479039,,,,,,,0,0,1.617949,3.216113,0
-1.336122,.0315726,0,-.6817041,,,,,,,0,0,-1.02885,-1.027948,0
-.8675621,.4699488,0,-.0329588,,,,,,,0,0,-.8332868,1.8555,0
-1.564774,-.9425702,0,.3126126,,,,,,,0,0,-1.309026,-.8826569,0
.6712169,-.5409704,0,.5253243,,,,,,,0,0,3.74567,1.777243,0
.6163927,-.1434939,0,-.2480928,,,,,,,0,0,.4810105,.3711198,0
-.5312207,-1.902337,0,.2317689,,,,,,,0,0,.2015778,-.5349712,0
.1368227,-.7710509,0,.2368857,,,,,,,0,0,.2655153,.3868437,0
1.691558,1.496493,0,-.4227961,,,,,,,0,0,.2706766,4.898013,0
.7028975,.1566722,0,-.8943115,,,,,,,0,0,-3.054552,.9212893,0
-.2128434,-1.193482,0,.584693,,,,,,,0,0,2.262897,.8033603,0
-.0479289,-.0346838,0,-1.095759,,,,,,,0,0,-.2316855,-1.061052,0
-.9914446,.6604438,0,-2.418872,,,,,,,0,0,-3.902556,-.8732637,0
.2871039,-.4369123,0,-1.985666,,,,,,,0,0,-3.861162,-1.13472,0
-1.441942,.627586,0,.5944748,,,,,,,0,0,2.697322,1.595628,0
1.535712,-1.70505,0,1.015642,,,,,,,0,0,3.595474,4.884854,0
-.3552272,1.356977,0,-.2537578,,,,,,,0,0,.2176929,4.099734,0
-.4789821,-.7159417,0,-.5286101,,,,,,,0,0,-1.274607,-1.423633,0
-1.47703,.8869217,0,-.2965645,,,,,,,0,0,-.6677617,.0640869,0
.4018027,-.7910867,0,-1.33701,,,,,,,0,0,-2.687326,.3533064,0
-.9652454,-.6655775,0,-.9050816,,,,,,,0,0,-3.031955,-2.38143,0
.557266,-1.78908,0,-.2423882,,,,,,,0,0,-.4158393,-.1477425,0
-.5332007,.0556868,0,-1.456999,,,,,,,0,0,-4.190933,-1.288805,0
.460306,-1.672384,0,-1.629514,,,,,,,0,0,-3.864779,-.1631717,0
.1692779,.2688171,0,-3.319333,,,,,,,0,0,-7.030629,-2.89054,0
.9210433,-.9122338,0,1.130642,,,,,,,0,0,3.408678,3.255647,0
-.2264112,-.5288001,0,.4723588,,,,,,,0,0,1.202734,-.2400721,0
1.342337,.0903951,0,-.4368514,,,,,,,0,0,1.68651,3.117134,0
-2.790723,-.839036,0,.3693929,,,,,,,0,0,-.1668697,-1.172783,0
-.4259652,1.503063,0,-1.679537,,,,,,,0,0,-2.671662,-.5590197,0
